

Windows-1252;;kunta_1_20220101#hyvinvointialue_1_20220101;;
sourcecode;sourcename;targetcode;targetname
"'684'";"Rauma";"'06'";"Satakunnan hyvinvointialue"
"'686'";"Rautalampi";"'13'";"Pohjois-Savon hyvinvointialue"
"'687'";"Rautavaara";"'13'";"Pohjois-Savon hyvinvointialue"
"'689'";"Rautjärvi";"'11'";"Etelä-Karjalan hyvinvointialue"
"'691'";"Reisjärvi";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'694'";"Riihimäki";"'07'";"Kanta-Hämeen hyvinvointialue"
"'697'";"Ristijärvi";"'20'";"Kainuun hyvinvointialue"
"'698'";"Rovaniemi";"'21'";"Lapin hyvinvointialue"
"'700'";"Ruokolahti";"'11'";"Etelä-Karjalan hyvinvointialue"
"'702'";"Ruovesi";"'08'";"Pirkanmaan hyvinvointialue"
"'704'";"Rusko";"'05'";"Varsinais-Suomen hyvinvointialue"
"'707'";"Rääkkylä";"'14'";"Pohjois-Karjalan hyvinvointialue"
"'729'";"Saarijärvi";"'15'";"Keski-Suomen hyvinvointialue"
"'732'";"Salla";"'21'";"Lapin hyvinvointialue"
"'734'";"Salo";"'05'";"Varsinais-Suomen hyvinvointialue"
"'736'";"Saltvik";"'91'";"Ahvenanmaa"
"'790'";"Sastamala";"'08'";"Pirkanmaan hyvinvointialue"
"'738'";"Sauvo";"'05'";"Varsinais-Suomen hyvinvointialue"
"'739'";"Savitaipale";"'11'";"Etelä-Karjalan hyvinvointialue"
"'740'";"Savonlinna";"'12'";"Etelä-Savon hyvinvointialue"
"'742'";"Savukoski";"'21'";"Lapin hyvinvointialue"
"'743'";"Seinäjoki";"'16'";"Etelä-Pohjanmaan hyvinvointialue"
"'746'";"Sievi";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'747'";"Siikainen";"'06'";"Satakunnan hyvinvointialue"
"'748'";"Siikajoki";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'791'";"Siikalatva";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'749'";"Siilinjärvi";"'13'";"Pohjois-Savon hyvinvointialue"
"'751'";"Simo";"'21'";"Lapin hyvinvointialue"
"'753'";"Sipoo";"'01'";"Itä-Uudenmaan hyvinvointialue"
"'755'";"Siuntio";"'03'";"Länsi-Uudenmaan hyvinvointialue"
"'758'";"Sodankylä";"'21'";"Lapin hyvinvointialue"
"'759'";"Soini";"'16'";"Etelä-Pohjanmaan hyvinvointialue"
"'761'";"Somero";"'05'";"Varsinais-Suomen hyvinvointialue"
"'762'";"Sonkajärvi";"'13'";"Pohjois-Savon hyvinvointialue"
"'765'";"Sotkamo";"'20'";"Kainuun hyvinvointialue"
"'766'";"Sottunga";"'91'";"Ahvenanmaa"
"'768'";"Sulkava";"'12'";"Etelä-Savon hyvinvointialue"
"'771'";"Sund";"'91'";"Ahvenanmaa"
"'777'";"Suomussalmi";"'20'";"Kainuun hyvinvointialue"
"'778'";"Suonenjoki";"'13'";"Pohjois-Savon hyvinvointialue"
"'781'";"Sysmä";"'09'";"Päijät-Hämeen hyvinvointialue"
"'783'";"Säkylä";"'06'";"Satakunnan hyvinvointialue"
"'831'";"Taipalsaari";"'11'";"Etelä-Karjalan hyvinvointialue"
"'832'";"Taivalkoski";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'833'";"Taivassalo";"'05'";"Varsinais-Suomen hyvinvointialue"
"'834'";"Tammela";"'07'";"Kanta-Hämeen hyvinvointialue"
"'837'";"Tampere";"'08'";"Pirkanmaan hyvinvointialue"
"'844'";"Tervo";"'13'";"Pohjois-Savon hyvinvointialue"
"'845'";"Tervola";"'21'";"Lapin hyvinvointialue"
"'846'";"Teuva";"'16'";"Etelä-Pohjanmaan hyvinvointialue"
"'848'";"Tohmajärvi";"'14'";"Pohjois-Karjalan hyvinvointialue"
"'849'";"Toholampi";"'18'";"Keski-Pohjanmaan hyvinvointialue"
"'850'";"Toivakka";"'15'";"Keski-Suomen hyvinvointialue"
"'851'";"Tornio";"'21'";"Lapin hyvinvointialue"
"'853'";"Turku";"'05'";"Varsinais-Suomen hyvinvointialue"
"'857'";"Tuusniemi";"'13'";"Pohjois-Savon hyvinvointialue"
"'858'";"Tuusula";"'02'";"Keski-Uudenmaan hyvinvointialue"
"'859'";"Tyrnävä";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'886'";"Ulvila";"'06'";"Satakunnan hyvinvointialue"
"'887'";"Urjala";"'08'";"Pirkanmaan hyvinvointialue"
"'889'";"Utajärvi";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'890'";"Utsjoki";"'21'";"Lapin hyvinvointialue"
"'892'";"Uurainen";"'15'";"Keski-Suomen hyvinvointialue"
"'893'";"Uusikaarlepyy";"'17'";"Pohjanmaan hyvinvointialue"
"'895'";"Uusikaupunki";"'05'";"Varsinais-Suomen hyvinvointialue"
"'785'";"Vaala";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'905'";"Vaasa";"'17'";"Pohjanmaan hyvinvointialue"
"'908'";"Valkeakoski";"'08'";"Pirkanmaan hyvinvointialue"
"'092'";"Vantaa";"'04'";"Vantaan ja Keravan hyvinvointialue"
"'915'";"Varkaus";"'13'";"Pohjois-Savon hyvinvointialue"
"'918'";"Vehmaa";"'05'";"Varsinais-Suomen hyvinvointialue"
"'921'";"Vesanto";"'13'";"Pohjois-Savon hyvinvointialue"
"'922'";"Vesilahti";"'08'";"Pirkanmaan hyvinvointialue"
"'924'";"Veteli";"'18'";"Keski-Pohjanmaan hyvinvointialue"
"'925'";"Vieremä";"'13'";"Pohjois-Savon hyvinvointialue"
